Restaurant Name,Country Code,City,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Votes,Country,Primary Cuisine,Cost Category,norm_votes,norm_rating,Score,Explanation
Crystal Beer Parlor,216,Savannah,-81.0979,32.0735,"american, bar food",25,No,No,No,2,4.4,690,United States,american,Low,0.07137684907416986,0.8800000000000001,0.637413054722251,"Matched on american cuisine, Low budget in United States with rating 4.4"
Tea Villa Cafe,1,Mumbai,72.83398401,19.05583064,"cafe, italian, desserts, fast food, chinese, tea",1000,Yes,Yes,No,3,4.1,2040,India,cafe,High,0.21102720595841523,0.82,0.6373081617875245,"Matched on cafe cuisine, High budget in India with rating 4.1"
Meï¿½ï¿½hur TavacÛ± Recep Usta,208,Ankara,32.84618889,39.88487222,kebab,100,No,No,No,3,4.5,231,Turkey,kebab,Low,0.02389572773352643,0.9,0.637168718320058,"Matched on kebab cuisine, Low budget in Turkey with rating 4.5"
650 - The Global Kitchen,1,Ahmedabad,72.5375741,23.01045111,"chinese, italian, north indian, mexican, mediterranean, thai",900,No,No,No,3,4.2,1582,India,chinese,High,0.16364952932657495,0.8400000000000001,0.6370948587979725,"Matched on chinese cuisine, High budget in India with rating 4.2"
National Highway 44,1,New Delhi,77.1183726,28.6475147,"kashmiri, north indian, mughlai, south indian, maharashtrian, gujarati",1100,Yes,No,No,3,4.4,676,India,kashmiri,High,0.06992862315092584,0.8800000000000001,0.6369785869452778,"Matched on kashmiri cuisine, High budget in India with rating 4.4"
Marble,189,Johannesburg,28.03619944,-26.14338814,"continental, south african, beverages, desserts, seafood, grill, ice cream, international",955,No,No,No,4,4.5,222,South Africa,continental,High,0.022964725354298127,0.9,0.6368894176062895,"Matched on continental cuisine, High budget in South Africa with rating 4.5"
Huber & Holly,1,Ahmedabad,72.5123947,23.0383109,"ice cream, desserts, continental",300,No,Yes,No,1,4.5,217,India,ice cream,Medium,0.022447501810282405,0.9,0.6367342505430847,"Matched on ice cream cuisine, Medium budget in India with rating 4.5"
Little Sister Cafe,148,Auckland,174.635633,-36.859341,cafe,45,No,No,No,3,4.5,213,New Zealand,cafe,Low,0.022033722975069826,0.9,0.636610116892521,"Matched on cafe cuisine, Low budget in New Zealand with rating 4.5"
Balay Dako,162,Tagaytay City,120.951589,14.101834,filipino,1200,Yes,No,No,3,4.5,211,Phillipines,filipino,High,0.021826833557463534,0.9,0.636548050067239,"Matched on filipino cuisine, High budget in Phillipines with rating 4.5"
Dhe Puttu,1,Kochi,76.31063056,10.02068333,kerala,600,No,Yes,No,2,4.4,662,India,kerala,Medium,0.0684803972276818,0.8800000000000001,0.6365441191683046,"Matched on kerala cuisine, Medium budget in India with rating 4.4"
Los Beto's,216,Boise,-116.2463,43.6191,mexican,10,No,No,No,1,4.4,660,United States,mexican,Low,0.06827350781007552,0.8800000000000001,0.6364820523430227,"Matched on mexican cuisine, Low budget in United States with rating 4.4"
"Red Ginger Sushi, Grill & Bar",216,Davenport,-90.522479,41.53845,"sushi, teriyaki",40,No,No,No,3,4.5,208,United States,sushi,Low,0.0215164994310541,0.9,0.6364549498293163,"Matched on sushi cuisine, Low budget in United States with rating 4.5"
A Dong Restaurant,216,Des Moines,-93.637401,41.587219,"asian, vegetarian, vietnamese, bubble tea",10,No,No,No,1,4.4,659,United States,asian,Low,0.06817006310127237,0.8800000000000001,0.6364510189303817,"Matched on asian cuisine, Low budget in United States with rating 4.4"
Fork,216,Boise,-116.202845,43.616295,"american, burger",25,No,No,No,2,4.4,650,United States,american,Low,0.06723906072204407,0.8800000000000001,0.6361717182166132,"Matched on american cuisine, Low budget in United States with rating 4.4"
Ekim Burgers,148,Wellington City,174.774151,-41.296107,fast food,25,No,No,No,1,4.5,195,New Zealand,fast food,Low,0.02017171821661322,0.9,0.636051515464984,"Matched on fast food cuisine, Low budget in New Zealand with rating 4.5"
Palmshore,1,Chennai,80.17456822,13.02627908,"north indian, mughlai, chinese, south indian",850,Yes,Yes,No,2,4.4,645,India,north indian,High,0.06672183717802835,0.8800000000000001,0.6360165511534085,"Matched on north indian cuisine, High budget in India with rating 4.4"
Kargo,1,Pune,73.89648478,18.53656175,"charcoal grill, italian, north indian, european, indonesian, thai",900,Yes,No,No,2,4.4,635,India,charcoal grill,High,0.0656873900899969,0.8800000000000001,0.635706217026999,"Matched on charcoal grill cuisine, High budget in India with rating 4.4"
Agent Jack's Bar,1,Pune,73.8303275,18.5367185,"continental, north indian, italian",1200,Yes,No,No,3,4.2,1531,India,continental,High,0.15837384917761457,0.8400000000000001,0.6355121547532844,"Matched on continental cuisine, High budget in India with rating 4.2"
YOLO 21,1,New Delhi,77.2042723,28.6950768,"cafe, italian, continental",700,Yes,No,No,2,4.2,1526,India,cafe,High,0.15785662563359884,0.8400000000000001,0.6353569876900796,"Matched on cafe cuisine, High budget in India with rating 4.2"
Big Fish Eatery,148,Auckland,174.810305,-36.905409,"asian, sushi, seafood",55,No,No,No,3,4.5,166,New Zealand,asian,Low,0.017171821661322022,0.9,0.6351515464983966,"Matched on asian cuisine, Low budget in New Zealand with rating 4.5"
Hot Palayok,214,Abu Dhabi,54.36615754,24.48277094,"filipino, japanese, asian",100,No,Yes,No,3,4.5,162,UAE,filipino,Low,0.016758042826109446,0.9,0.6350274128478328,"Matched on filipino cuisine, Low budget in UAE with rating 4.5"
Owl is Well,1,New Delhi,77.24070288,28.54163598,"burger, american, fast food, italian, pizza",1000,No,Yes,No,3,4.5,162,India,burger,High,0.016758042826109446,0.9,0.6350274128478328,"Matched on burger cuisine, High budget in India with rating 4.5"
Hula Grill,216,Rest of Hawaii,-156.693821,20.921347,"hawaiian, seafood, steak",40,No,No,No,3,4.3,1056,United States,hawaiian,Low,0.10923761249612082,0.86,0.6347712837488362,"Matched on hawaiian cuisine, Low budget in United States with rating 4.3"
Ombra,148,Wellington City,174.775,-41.29483333,italian,70,No,No,No,4,4.5,152,New Zealand,italian,Low,0.015723595738077998,0.9,0.6347170787214234,"Matched on italian cuisine, Low budget in New Zealand with rating 4.5"
sketch Gallery,215,London,-0.141557,51.512669,"british, contemporary",100,No,No,No,4,4.5,148,United Kingdom,british,Low,0.015309816902865418,0.9,0.6345929450708596,"Matched on british cuisine, Low budget in United Kingdom with rating 4.5"
The Big Chill Cakery,1,Noida,77.32187994,28.56772693,"bakery, desserts",700,No,No,No,2,4.5,147,India,bakery,High,0.015206372194062274,0.9,0.6345619116582187,"Matched on bakery cuisine, High budget in India with rating 4.5"
Simply Strawberries By Jagro,191,Colombo,79.87943333,6.883738889,"juices, desserts",1300,No,No,No,2,4.5,146,Sri Lanka,juices,High,0.015102927485259128,0.9,0.6345308782455777,"Matched on juices cuisine, High budget in Sri Lanka with rating 4.5"
Central Perk 7,1,Bhubaneshwar,85.81781287,20.32553933,"cafe, charcoal grill, steak",600,No,No,No,2,4.5,145,India,cafe,Medium,0.014999482776455984,0.9,0.6344998448329368,"Matched on cafe cuisine, Medium budget in India with rating 4.5"
Paper Moon,166,Doha,51.54457591,25.27301974,italian,400,No,No,No,4,4.5,145,Qatar,italian,Medium,0.014999482776455984,0.9,0.6344998448329368,"Matched on italian cuisine, Medium budget in Qatar with rating 4.5"
Frozen Factory,1,Lucknow,0.0,0.0,"desserts, ice cream",200,No,No,No,1,4.5,144,India,desserts,Low,0.01489603806765284,0.9,0.6344688114202959,"Matched on desserts cuisine, Low budget in India with rating 4.5"
Paper Fig,214,Sharjah,55.45834266,25.3084123,"cafe, bakery, desserts",150,No,No,No,4,4.5,143,UAE,cafe,Low,0.014792593358849694,0.9,0.6344377780076549,"Matched on cafe cuisine, Low budget in UAE with rating 4.5"
Tako Cheena by Pom Pom,216,Orlando,-81.364547,28.557845,"asian, latin american, vegetarian",10,No,No,No,1,4.4,570,United States,asian,Low,0.05896348401779249,0.8800000000000001,0.6336890452053378,"Matched on asian cuisine, Low budget in United States with rating 4.4"
Hobing Korean Dessert Cafe,162,Taguig City,121.045878,14.55436,"cafe, korean, desserts",600,No,No,No,2,4.5,118,Phillipines,cafe,Medium,0.012206475638771077,0.9,0.6336619426916313,"Matched on cafe cuisine, Medium budget in Phillipines with rating 4.5"
Mughli,215,Manchester,-2.225333333,53.456,"indian, curry",35,No,No,No,2,4.5,110,United Kingdom,indian,Low,0.01137891796834592,0.9,0.6334136753905037,"Matched on indian cuisine, Low budget in United Kingdom with rating 4.5"
Bistro 37,1,Noida,77.3397409,28.5652948,"fast food, chinese",400,No,No,No,1,4.3,1005,India,fast food,Medium,0.10396193234716045,0.86,0.6331885797041481,"Matched on fast food cuisine, Medium budget in India with rating 4.3"
Grand Barbeque Buffet Restaurant,214,Dubai,55.27340334,25.24107351,"indian, asian",150,Yes,Yes,No,3,4.4,552,UAE,indian,Low,0.05710147925933588,0.8800000000000001,0.6331304437778007,"Matched on indian cuisine, Low budget in UAE with rating 4.4"
Gazebo,216,Rest of Hawaii,-156.667037,20.992316,"breakfast, burger",25,No,No,No,2,4.4,552,United States,breakfast,Low,0.05710147925933588,0.8800000000000001,0.6331304437778007,"Matched on breakfast cuisine, Low budget in United States with rating 4.4"
Culture Club - Bar De Tapas,189,Pretoria,28.255682,-25.775823,"cafe, tapas, south african, beverages, healthy food, desserts, spanish",285,No,No,No,3,4.5,97,South Africa,cafe,Medium,0.010034136753905038,0.9,0.6330102410261715,"Matched on cafe cuisine, Medium budget in South Africa with rating 4.5"
The Royal Peasant,216,Athens,-83.38728,33.937502,bar food,10,No,No,No,1,4.4,546,United States,bar food,Low,0.056480811006517015,0.8800000000000001,0.6329442433019551,"Matched on bar food cuisine, Low budget in United States with rating 4.4"
Rang De Basanti Urban Dhaba,1,New Delhi,77.195013,28.554476,north indian,1300,Yes,Yes,No,3,4.4,541,India,north indian,High,0.055963587462501296,0.8800000000000001,0.6327890762387504,"Matched on north indian cuisine, High budget in India with rating 4.4"
Twigly,1,Gurgaon,77.0587634,28.4344744,"asian, continental, fast food",500,No,Yes,No,2,4.5,76,India,asian,Medium,0.007861797869038999,0.9,0.6323585393607117,"Matched on asian cuisine, Medium budget in India with rating 4.5"
Natural Ice Cream,1,New Delhi,77.2045658,28.5513376,ice cream,150,No,Yes,No,1,4.5,67,India,ice cream,Low,0.006930795489810696,0.9,0.6320792386469433,"Matched on ice cream cuisine, Low budget in India with rating 4.5"
Truth Coffee,189,Cape Town,18.42286024,-33.92849643,cafe,150,No,No,No,2,4.4,514,South Africa,cafe,Low,0.053170580324816384,0.8800000000000001,0.631951174097445,"Matched on cafe cuisine, Low budget in South Africa with rating 4.4"
Midnight Hunger Hub,1,New Delhi,77.0900756,28.6122787,"north indian, fast food, italian, asian",800,No,Yes,Yes,2,4.5,50,India,north indian,High,0.005172235440157236,0.9,0.6315516706320472,"Matched on north indian cuisine, High budget in India with rating 4.5"
Cantina Famiglia Mancini,30,Sï¿½ï¿½o Paulo,-46.64516667,-23.55066667,"italian, pizza",250,No,No,No,4,4.5,49,Brazil,italian,Low,0.005068790731354091,0.9,0.6315206372194062,"Matched on italian cuisine, Low budget in Brazil with rating 4.5"
Cafe Del Sol Botanico,189,Sandton,28.027725,-26.074876,"italian, pizza, beverages, desserts, grill, seafood",400,No,No,No,4,4.4,499,South Africa,italian,Medium,0.051618909692769215,0.8800000000000001,0.6314856729078308,"Matched on italian cuisine, Medium budget in South Africa with rating 4.4"
Saffron Mantra,1,Secunderabad,78.5003662,17.4589981,"north indian, chinese",850,Yes,Yes,No,2,4.4,494,India,north indian,High,0.05110168614875349,0.8800000000000001,0.631330505844626,"Matched on north indian cuisine, High budget in India with rating 4.4"
Brick 29,216,Boise,-116.5629,43.5777,american,40,No,No,No,3,4.4,487,United States,american,Low,0.05037757318713148,0.8800000000000001,0.6311132719561394,"Matched on american cuisine, Low budget in United States with rating 4.4"
Cervantes,30,Rio de Janeiro,-43.17583333,-22.96216667,"beverages, bar food, fast food",90,No,No,No,3,4.5,29,Brazil,beverages,Low,0.002999896555291197,0.9,0.6308999689665874,"Matched on beverages cuisine, Low budget in Brazil with rating 4.5"
Pizza Di Rocco,214,Abu Dhabi,54.38193094,24.48557932,"italian, pizza",150,Yes,Yes,No,3,4.4,471,UAE,italian,Low,0.04872245784628116,0.8800000000000001,0.6306167373538843,"Matched on italian cuisine, Low budget in UAE with rating 4.4"
QD's Restaurant,1,New Delhi,77.2042559,28.6951592,"chinese, north indian, fast food, italian",800,No,Yes,No,2,3.9,2724,India,chinese,High,0.2817833867797662,0.78,0.6305350160339298,"Matched on chinese cuisine, High budget in India with rating 3.9"
Pind,1,Chennai,80.221898,12.975996,"north indian, chinese",900,Yes,No,No,2,4.0,2272,India,north indian,High,0.2350263784007448,0.8,0.6305079135202234,"Matched on north indian cuisine, High budget in India with rating 4.0"
Souza Lobo,1,Goa,73.75573611,15.54441944,"north indian, continental, goan",1300,No,No,No,4,4.3,918,India,north indian,High,0.09496224268128685,0.86,0.630488672804386,"Matched on north indian cuisine, High budget in India with rating 4.3"
Willoughby & Co.,189,Cape Town,18.421,-33.90416667,"seafood, japanese, sushi",570,No,No,No,4,4.4,466,South Africa,seafood,Medium,0.04820523430226544,0.8800000000000001,0.6304615702906796,"Matched on seafood cuisine, Medium budget in South Africa with rating 4.4"
Salt Rock Grill,216,Tampa Bay,-82.843253,27.848357,"american, seafood, steak",40,No,No,No,3,4.2,1363,United States,american,Low,0.14099513809868625,0.8400000000000001,0.6302985414296058,"Matched on american cuisine, Low budget in United States with rating 4.2"
Bahama Breeze Island Grille,216,Orlando,-81.471526,28.437065,caribbean,45,No,No,No,3,4.3,910,United States,caribbean,Low,0.0941346850108617,0.86,0.6302404055032584,"Matched on caribbean cuisine, Low budget in United States with rating 4.3"
The Grand Marlin,216,Pensacola,-87.149178,30.34262,"caribbean, seafood",40,No,No,No,3,4.3,905,United States,caribbean,Low,0.09361746146684598,0.86,0.6300852384400538,"Matched on caribbean cuisine, Low budget in United States with rating 4.3"
Vintage Machine,1,Lucknow,81.00043965,26.8536376,"italian, american, lebanese",1000,No,No,No,3,4.3,887,India,italian,High,0.09175545670838936,0.86,0.6295266370125168,"Matched on italian cuisine, High budget in India with rating 4.3"
Mellow Mushroom,216,Augusta,-81.9721,33.4778,"italian, pizza, sandwich",25,No,No,No,2,4.4,433,United States,italian,Low,0.04479155891176166,0.8800000000000001,0.6294374676735285,"Matched on italian cuisine, Low budget in United States with rating 4.4"
Irish Democrat,216,Cedar Rapids/Iowa City,-91.6347,42.01,"american, bbq, burger",25,No,No,No,2,4.4,430,United States,american,Low,0.04448122478535223,0.8800000000000001,0.6293443674356056,"Matched on american cuisine, Low budget in United States with rating 4.4"
Baltazar,208,ï¿½ï¿½stanbul,28.98110311,41.02578494,"burger, izgara",90,No,No,No,3,4.3,870,Turkey,burger,Low,0.0899968966587359,0.86,0.6289990689976207,"Matched on burger cuisine, Low budget in Turkey with rating 4.3"
Mocambo,1,Kolkata,88.3532734,22.5532273,"continental, italian, north indian",1050,No,Yes,No,3,3.5,4464,India,continental,High,0.461777180097238,0.7,0.6285331540291713,"Matched on continental cuisine, High budget in India with rating 3.5"
Carnatic Cafe,1,New Delhi,77.2422778,28.533561,south indian,550,No,No,No,2,4.4,400,India,south indian,Medium,0.04137788352125789,0.8800000000000001,0.6284133650563773,"Matched on south indian cuisine, Medium budget in India with rating 4.4"
Nibs Cafe,1,Jaipur,75.7942573,26.9023283,"cafe, italian, continental",750,No,Yes,No,2,4.4,389,India,cafe,High,0.040239991724423295,0.8800000000000001,0.628071997517327,"Matched on cafe cuisine, High budget in India with rating 4.4"
Berco's,1,New Delhi,77.2172977,28.6324521,"chinese, thai",1100,Yes,Yes,No,3,3.9,2639,India,chinese,High,0.27299058653149894,0.78,0.6278971759594496,"Matched on chinese cuisine, High budget in India with rating 3.9"
Vivo Bar and Grill,14,Palm Cove,145.670768,-16.748083,"mediterranean, seafood",30,No,No,No,3,4.4,381,Australia,mediterranean,Low,0.039412434053998135,0.8800000000000001,0.6278237302161994,"Matched on mediterranean cuisine, Low budget in Australia with rating 4.4"
Cactus Flower Cafe,216,Pensacola,-87.2080932,30.4473322,"latin american, mexican, southwestern",25,No,No,No,2,4.2,1268,United States,latin american,Low,0.1311678907623875,0.8400000000000001,0.6273503672287162,"Matched on latin american cuisine, Low budget in United States with rating 4.2"
Lucianos Italian Restaurant,216,Boise,-116.245165,43.6051379,"italian, seafood, vegetarian",25,No,No,No,2,4.4,360,United States,italian,Low,0.0372400951691321,0.8800000000000001,0.6271720285507396,"Matched on italian cuisine, Low budget in United States with rating 4.4"
Cafe LazyMojo,1,Jaipur,75.80051154,26.84959558,"cafe, mexican, italian, continental",800,No,Yes,No,2,4.3,798,India,cafe,High,0.08254887762490949,0.86,0.6267646632874728,"Matched on cafe cuisine, High budget in India with rating 4.3"
1918 Bistro & Grill,14,Tanunda,138.966064,-34.519619,"modern australian, australian",30,No,No,No,3,4.4,339,Australia,modern australian,Low,0.03506775628426606,0.8800000000000001,0.6265203268852798,"Matched on modern australian cuisine, Low budget in Australia with rating 4.4"
Din Tai Fung,162,Mandaluyong City,121.056314,14.583764,chinese,1000,No,No,No,3,4.4,336,Phillipines,chinese,High,0.03475742215785663,0.8800000000000001,0.626427226647357,"Matched on chinese cuisine, High budget in Phillipines with rating 4.4"
Cafe 17,1,Kochi,76.29521111,9.988483333,"cafe, continental, italian",700,No,Yes,No,2,4.4,333,India,cafe,High,0.03444708803144719,0.8800000000000001,0.6263341264094342,"Matched on cafe cuisine, High budget in India with rating 4.4"
Raglan Road Irish Pub and Restaurant,216,Orlando,-81.517725,28.371338,irish,50,No,No,No,4,4.3,782,United States,irish,Low,0.08089376228405917,0.86,0.6262681286852178,"Matched on irish cuisine, Low budget in United States with rating 4.3"
The Coffee Shop,1,New Delhi,77.20764901,28.52294227,"cafe, italian",1200,No,Yes,No,3,4.4,326,India,cafe,High,0.033722975069825176,0.8800000000000001,0.6261168925209476,"Matched on cafe cuisine, High budget in India with rating 4.4"
The Yellow Chilli,1,Ludhiana,75.82184684,30.89297787,"mughlai, north indian, chinese",1200,No,No,No,3,4.4,325,India,mughlai,High,0.03361953036102203,0.8800000000000001,0.6260858591083066,"Matched on mughlai cuisine, High budget in India with rating 4.4"
The Fisherman's Wharf,1,Goa,0.0,0.0,"continental, goan, seafood, north indian",1100,No,No,No,4,4.4,323,India,continental,High,0.03341264094341574,0.8800000000000001,0.6260237922830247,"Matched on continental cuisine, High budget in India with rating 4.4"
The Cafe Baraco,1,Ahmedabad,72.5504755,23.0443367,"cafe, italian",600,No,Yes,No,2,4.4,317,India,cafe,Medium,0.032791972690596874,0.8800000000000001,0.625837591807179,"Matched on cafe cuisine, Medium budget in India with rating 4.4"
Ichiban,216,Pensacola,-87.2252,30.4767,"japanese, sushi",25,No,No,No,2,4.3,765,United States,japanese,Low,0.0791352022344057,0.86,0.6257405606703217,"Matched on japanese cuisine, Low budget in United States with rating 4.3"
Nobu,215,London,-0.143259,51.508811,"japanese, sushi",100,Yes,No,No,4,4.4,311,United Kingdom,japanese,Low,0.032171304437778006,0.8800000000000001,0.6256513913313334,"Matched on japanese cuisine, Low budget in United Kingdom with rating 4.4"
Five & Ten,216,Athens,-83.3872482,33.9415545,american,40,No,No,No,3,4.3,755,United States,american,Low,0.07810075514637427,0.86,0.6254302265439122,"Matched on american cuisine, Low budget in United States with rating 4.3"
Eat Street,1,Bangalore,77.625999,12.939496,"north indian, chinese, italian, street food, desserts",400,No,Yes,No,1,4.3,753,India,north indian,Medium,0.07789386572876797,0.86,0.6253681597186304,"Matched on north indian cuisine, Medium budget in India with rating 4.3"
Capital Craft Beer Academy,189,Pretoria,28.25643333,-25.76973333,"street food, burger, american, finger food, german",200,No,No,No,3,4.4,301,South Africa,street food,Low,0.031136857349746562,0.8800000000000001,0.625341057204924,"Matched on street food cuisine, Low budget in South Africa with rating 4.4"
Rose Cafe,1,New Delhi,77.1982094,28.5178209,"cafe, italian, lebanese, continental, mediterranean",1000,No,No,No,3,4.1,1653,India,cafe,High,0.17099410365159823,0.82,0.6252982310954794,"Matched on cafe cuisine, High budget in India with rating 4.1"
ï¿½ukuraï¿½ï¿½a SofrasÛ±,208,Ankara,32.81883333,39.91666667,"kebab, izgara",60,No,No,No,3,4.4,296,Turkey,kebab,Low,0.030619633805730836,0.8800000000000001,0.6251858901417192,"Matched on kebab cuisine, Low budget in Turkey with rating 4.4"
San Carlo,215,Manchester,-2.248848,53.481413,italian,25,No,No,No,2,4.3,745,United Kingdom,italian,Low,0.07706630805834282,0.86,0.6251198924175029,"Matched on italian cuisine, Low budget in United Kingdom with rating 4.3"
Puffizza,1,Ahmedabad,72.53774978,23.04619268,"italian, fast food",700,No,Yes,No,2,4.3,744,India,italian,High,0.07696286334953967,0.86,0.6250888590048619,"Matched on italian cuisine, High budget in India with rating 4.3"
Palmshore,1,Chennai,80.2752348,13.02628637,"north indian, mughlai, chinese, south indian",850,Yes,Yes,No,2,4.3,742,India,north indian,High,0.07675597393193338,0.86,0.62502679217958,"Matched on north indian cuisine, High budget in India with rating 4.3"
Jerry's Burger Bar,189,Cape Town,18.410769,-33.929022,"burger, american",250,No,No,No,3,4.4,281,South Africa,burger,Low,0.029067963173683667,0.8800000000000001,0.6247203889521051,"Matched on burger cuisine, Low budget in South Africa with rating 4.4"
SpiceKlub,214,Dubai,55.288061,25.252054,"indian, north indian, street food",150,Yes,No,No,3,4.4,281,UAE,indian,Low,0.029067963173683667,0.8800000000000001,0.6247203889521051,"Matched on indian cuisine, Low budget in UAE with rating 4.4"
Fozzie's Pizzaiolo,1,Ahmedabad,72.5098065,23.0330688,"pizza, italian, beverages, desserts",900,No,Yes,No,3,4.3,731,India,pizza,High,0.0756180821350988,0.86,0.6246854246405296,"Matched on pizza cuisine, High budget in India with rating 4.3"
Mother India's Cafe,215,Edinburgh,-3.18625,55.94800278,indian,25,No,No,No,2,4.4,279,United Kingdom,indian,Low,0.028861073756077375,0.8800000000000001,0.6246583221268232,"Matched on indian cuisine, Low budget in United Kingdom with rating 4.4"
The Kitchin,215,Edinburgh,-3.172778,55.97698,"british, french",90,No,No,No,4,4.4,275,United Kingdom,british,Low,0.0284472949208648,0.8800000000000001,0.6245341884762594,"Matched on british cuisine, Low budget in United Kingdom with rating 4.4"
Paragon,1,Kochi,76.30825833,10.02736389,"kerala, south indian, continental, north indian, seafood, chinese",900,No,No,No,2,4.3,722,India,kerala,High,0.07468707975587048,0.86,0.6244061239267611,"Matched on kerala cuisine, High budget in India with rating 4.3"
Blue Tokai Coffee Roasters,1,New Delhi,77.200089,28.5173033,cafe,350,No,Yes,No,1,4.4,269,India,cafe,Medium,0.027826626668045928,0.8800000000000001,0.6243479880004138,"Matched on cafe cuisine, Medium budget in India with rating 4.4"
SOHO South Cafe,216,Savannah,-81.0939,32.0747,"cafe, sandwich, southern",25,No,No,No,2,4.3,719,United States,cafe,Low,0.07437674562946105,0.86,0.6243130236888383,"Matched on cafe cuisine, Low budget in United States with rating 4.3"
Hoka-Hoka Japanese Steak & Sushi,216,Gainesville,-83.989317,34.541044,"chinese, japanese, thai",10,No,No,No,1,4.4,267,United States,chinese,Low,0.02761973725043964,0.8800000000000001,0.6242859211751319,"Matched on chinese cuisine, Low budget in United States with rating 4.4"
J. Christopher's,216,Savannah,-81.091482,32.074495,"breakfast, diner, sandwich",25,No,No,No,2,4.3,710,United States,breakfast,Low,0.07344574325023275,0.86,0.6240337229750698,"Matched on breakfast cuisine, Low budget in United States with rating 4.3"
The Zuree Urban Kitchen,1,Nagpur,79.08184659,21.15848119,"north indian, italian, continental",1200,No,Yes,No,3,4.4,257,India,north indian,High,0.026585290162408192,0.8800000000000001,0.6239755870487225,"Matched on north indian cuisine, High budget in India with rating 4.4"
Kimo's,216,Rest of Hawaii,-156.680666,20.876127,"hawaiian, seafood, steak",40,No,No,No,3,4.3,707,United States,hawaiian,Low,0.07313540912382331,0.86,0.623940622737147,"Matched on hawaiian cuisine, Low budget in United States with rating 4.3"
Jethro's BBQ,216,Des Moines,-93.659797,41.603901,"american, bbq",25,No,No,No,2,4.3,699,United States,american,Low,0.07230785145339816,0.86,0.6236923554360194,"Matched on american cuisine, Low budget in United States with rating 4.3"
Cho Gao - Crowne Plaza Abu Dhabi,214,Abu Dhabi,54.365694,24.491235,"thai, japanese, chinese, indonesian, vietnamese",350,Yes,Yes,No,4,4.4,246,UAE,thai,Medium,0.025447398365573602,0.8800000000000001,0.623634219509672,"Matched on thai cuisine, Medium budget in UAE with rating 4.4"
Manohar Dairy And Restaurant,1,Bhopal,77.434007,23.234249,"north indian, south indian, street food, bakery",400,No,No,No,2,4.4,243,India,north indian,Medium,0.02513706423916417,0.8800000000000001,0.6235411192717493,"Matched on north indian cuisine, Medium budget in India with rating 4.4"
Fidel's,148,Wellington City,174.774134,-41.29597,"cafe, european, mexican",50,No,No,No,3,4.4,242,New Zealand,cafe,Low,0.025033619530361022,0.8800000000000001,0.6235100858591083,"Matched on cafe cuisine, Low budget in New Zealand with rating 4.4"
Houndstooth Grill & Tavern,216,Gainesville,-83.8461,34.0901,"american, sandwich, seafood",25,No,No,No,2,4.4,239,United States,american,Low,0.02472328540395159,0.8800000000000001,0.6234169856211854,"Matched on american cuisine, Low budget in United States with rating 4.4"
Hunter's Pub,216,Columbus,-85.0213,32.7455,"american, seafood, steak",40,No,No,No,3,4.4,235,United States,american,Low,0.02430950656873901,0.8800000000000001,0.6232928519706217,"Matched on american cuisine, Low budget in United States with rating 4.4"
Food Scouts,1,New Delhi,77.11999476,28.65081196,"north indian, chinese, continental",700,No,Yes,No,2,4.4,229,India,north indian,High,0.02368883831592014,0.8800000000000001,0.6231066514947761,"Matched on north indian cuisine, High budget in India with rating 4.4"
Chinoiserie,148,Auckland,174.7269883,-36.89398977,"taiwanese, street food",50,No,No,No,3,4.4,223,New Zealand,taiwanese,Low,0.023068170063101273,0.8800000000000001,0.6229204510189303,"Matched on taiwanese cuisine, Low budget in New Zealand with rating 4.4"
Whipped,1,New Delhi,77.2400353,28.5388101,"bakery, desserts",550,No,Yes,No,2,4.2,1125,India,bakery,Medium,0.1163752974035378,0.8400000000000001,0.6229125892210613,"Matched on bakery cuisine, Medium budget in India with rating 4.2"
Din Tai Fung,214,Dubai,55.19854523,25.11851301,"asian, chinese",160,No,No,No,3,4.3,661,UAE,asian,Low,0.06837695251887865,0.86,0.6225130857556636,"Matched on asian cuisine, Low budget in UAE with rating 4.3"
Barbeque Ville,1,Pune,73.7735722,18.5927182,north indian,1000,Yes,No,No,3,4.4,208,India,north indian,High,0.0215164994310541,0.8800000000000001,0.6224549498293163,"Matched on north indian cuisine, High budget in India with rating 4.4"
Dub's High on the Hog,216,Dalton,-84.9523921,34.4972488,bbq,25,No,No,No,2,4.4,207,United States,bbq,Low,0.021413054722250958,0.8800000000000001,0.6224239164166753,"Matched on bbq cuisine, Low budget in United States with rating 4.4"
Cocoa Tree,1,Kochi,76.29678333,9.957144444,"italian, seafood, mediterranean, desserts, cafe",1000,No,No,No,3,4.3,658,India,italian,High,0.06806661839246922,0.86,0.6224199855177407,"Matched on italian cuisine, High budget in India with rating 4.3"
Hoppipola,1,Kolkata,88.3933102,22.51458534,"italian, mexican, american, mediterranean",1200,No,Yes,No,3,4.2,1103,India,italian,High,0.11409951380986863,0.8400000000000001,0.6222298541429605,"Matched on italian cuisine, High budget in India with rating 4.2"
Burgrill,1,New Delhi,77.1684226,28.5884459,"burger, fast food",450,No,Yes,No,1,4.4,178,India,burger,Medium,0.01841315816695976,0.8800000000000001,0.6215239474500879,"Matched on burger cuisine, Medium budget in India with rating 4.4"
