Restaurant Name,Country Code,City,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Votes,Country,Primary Cuisine,Cost Category
Droolfi,1,Gurgaon,77.09959824,28.42517935,desserts,100,No,No,No,1,3.0,4,India,desserts,Low
Earthen Spices,1,Gurgaon,77.1019507,28.4213907,"north indian, mughlai, chinese",600,No,No,No,2,2.7,20,India,north indian,Medium
FatPlates,1,Gurgaon,77.1018657,28.4211708,north indian,600,No,No,No,2,3.0,18,India,north indian,Medium
Food4U!,1,Gurgaon,77.1362757,28.4362232,"north indian, chinese, street food",600,No,Yes,No,2,3.2,18,India,north indian,Medium
Ghar Ki Handi,1,Gurgaon,0.0,0.0,north indian,300,No,No,No,1,3.0,6,India,north indian,Medium
Giani,1,Gurgaon,77.1000368,28.4255681,"ice cream, desserts",300,No,No,No,1,3.2,7,India,ice cream,Medium
Great Desserts Company,1,Gurgaon,77.0982526,28.4273124,"bakery, desserts",300,No,No,No,1,3.3,14,India,bakery,Medium
Green Chick Chop,1,Gurgaon,77.0992983,28.4250375,"raw meats, fast food",350,No,No,No,1,2.9,4,India,raw meats,Medium
Mughlai Treat,1,Gurgaon,77.1017259,28.421414,"north indian, mughlai",500,No,No,No,2,3.2,48,India,north indian,Medium
Munch,1,Gurgaon,77.1349572,28.434589,"north indian, south indian, fast food",700,No,Yes,No,2,3.1,9,India,north indian,High
New Spice World,1,Gurgaon,77.09929749,28.42516814,"chinese, fast food",600,No,No,No,2,2.9,5,India,chinese,Medium
Pure Bliss,1,Gurgaon,77.09992748,28.42894133,"north indian, chinese",500,No,No,No,2,3.0,33,India,north indian,Medium
Puskar Raj Momos & Chinese Corner,1,Gurgaon,77.0992973,28.4252326,chinese,200,No,No,No,1,3.0,4,India,chinese,Low
Sai-Yo!,1,Gurgaon,77.1001525,28.4283926,"north indian, chinese",650,No,Yes,No,2,3.1,37,India,north indian,High
Shanghai Cafe,1,Gurgaon,77.1000683,28.4285248,chinese,600,No,Yes,No,2,2.6,17,India,chinese,Medium
The Blaze,1,Gurgaon,77.0961512,28.4180994,"north indian, chinese",750,Yes,No,No,2,2.9,8,India,north indian,High
Ullu Delivers,1,Gurgaon,77.0993188,28.4250399,"north indian, chinese",500,No,Yes,Yes,2,2.8,5,India,north indian,Medium
Yomo-Your Only Momo Outlet,1,Gurgaon,77.0994718,28.4253531,fast food,150,No,No,No,1,3.0,6,India,fast food,Low
Dimsum Democracy,1,Gurgaon,77.10009377,28.42846486,chinese,500,No,No,No,2,3.6,47,India,chinese,Medium
Midnight Hunger,1,Gurgaon,0.0,0.0,"continental, north indian",400,No,No,No,1,3.8,46,India,continental,Medium
The Punjab Kitchen,1,Gurgaon,77.112886,28.413665,north indian,350,No,Yes,No,1,3.9,37,India,north indian,Medium
Too Maach,1,Gurgaon,77.1000307,28.4286826,"bengali, north indian",800,No,Yes,No,2,3.5,46,India,bengali,High
Apni Rasoi,1,Gurgaon,77.099865,28.4252571,north indian,150,No,No,No,1,0.0,0,India,north indian,Low
Bala Ji Sweets Corner,1,Gurgaon,77.0992983,28.4250375,"mithai, street food",100,No,No,No,1,0.0,0,India,mithai,Low
Barista,1,Gurgaon,77.1340452,28.43675,cafe,650,No,No,No,2,0.0,0,India,cafe,High
Biryani Express,1,Gurgaon,77.0893173,28.4316128,biryani,300,No,No,No,1,0.0,1,India,biryani,Medium
Cafe #22hours,1,Gurgaon,0.0,0.0,"north indian, south indian, chinese, healthy food, bakery",350,No,No,No,1,0.0,0,India,north indian,Medium
Cake Innovation,1,Gurgaon,77.134902,28.4345776,"bakery, desserts",400,No,No,No,1,0.0,1,India,bakery,Medium
Chawla'sï¿½_,1,Gurgaon,77.100181,28.4287959,"north indian, chinese",600,No,No,No,2,0.0,1,India,north indian,Medium
China Gathering,1,Gurgaon,77.1096659,28.4271903,chinese,600,No,No,No,2,0.0,1,India,chinese,Medium
Chinese Hot Express,1,Gurgaon,77.099568,28.4254221,chinese,200,No,No,No,1,0.0,0,India,chinese,Low
Cookingo,1,Gurgaon,0.0,0.0,"mughlai, north indian, chinese",350,No,No,No,1,0.0,0,India,mughlai,Medium
Firefly,1,Gurgaon,0.0,0.0,north indian,300,No,No,No,1,0.0,0,India,north indian,Medium
Foodie Xpress,1,Gurgaon,0.0,0.0,north indian,200,No,No,No,1,0.0,0,India,north indian,Low
Go! Dimsum,1,Gurgaon,77.09921435,28.42471111,chinese,100,No,No,No,1,0.0,0,India,chinese,Low
Kanha North & South Indian Veg.,1,Gurgaon,77.10003416,28.42890893,"north indian, south indian",200,No,No,No,1,0.0,0,India,north indian,Low
Kings Kulfi,1,Gurgaon,77.0999277,28.4256359,ice cream,150,No,No,No,1,0.0,0,India,ice cream,Low
Lassi Cafe,1,Gurgaon,77.1420001,28.429125,north indian,300,No,No,No,1,0.0,0,India,north indian,Medium
Marwadi Khana,1,Gurgaon,77.104693,28.4221468,"north indian, rajasthani",500,No,No,No,2,0.0,0,India,north indian,Medium
Nukkadwala,1,Gurgaon,77.1529576,28.4319337,"fast food, street food",300,No,No,No,1,0.0,3,India,fast food,Medium
Ravi Fast Food,1,Gurgaon,77.0990285,28.425191,fast food,150,No,No,No,1,0.0,0,India,fast food,Low
Shivalik Tiffin Corner,1,Gurgaon,77.1072554,28.4298806,north indian,150,No,No,No,1,0.0,2,India,north indian,Low
Street Food By Punjab Grills,1,Gurgaon,77.0997478,28.4253496,north indian,400,No,No,No,1,0.0,0,India,north indian,Medium
Sweet Ginger Bakery,1,Gurgaon,77.1345396,28.436573,bakery,500,No,No,No,2,0.0,0,India,bakery,Medium
The Rolling Stove,1,Gurgaon,77.0998491,28.425268,chinese,400,No,No,No,1,0.0,0,India,chinese,Medium
Vijeta's Happy Kitchen,1,Gurgaon,0.0,0.0,north indian,200,No,No,No,1,0.0,1,India,north indian,Low
Chawla'sï¿½_,1,Gurgaon,77.0921967,28.430031,"north indian, mughlai, chinese",800,No,No,No,2,2.2,66,India,north indian,High
Chy - Na Express,1,Gurgaon,77.0990285,28.4249219,chinese,400,No,Yes,No,1,2.2,46,India,chinese,Medium
Kwality,1,Gurgaon,77.0992084,28.4251185,"chinese, mughlai, north indian",650,No,No,No,2,2.4,52,India,chinese,High
Brother's Snacks and Shakes,1,Gurgaon,77.080462,28.4297813,fast food,300,No,Yes,Yes,1,3.2,12,India,fast food,Medium
Ginger Garlic,1,Gurgaon,77.0904414,28.4217218,chinese,600,No,Yes,No,2,2.8,106,India,chinese,Medium
Arabicaa 9,1,Gurgaon,77.0176107,28.467311,lebanese,500,No,No,No,2,3.3,22,India,lebanese,Medium
Burger Xpress,1,Gurgaon,77.017531,28.4672588,fast food,300,No,No,No,1,3.4,94,India,fast food,Medium
Dilli Light,1,Gurgaon,77.0190993,28.4707962,"north indian, chinese",600,No,Yes,No,2,2.6,16,India,north indian,Medium
KB's Kulfi & Icecream,1,Gurgaon,77.0184147,28.4726717,ice cream,200,No,Yes,No,1,2.8,11,India,ice cream,Low
MyLoveBiryani.Com,1,Gurgaon,77.0155627,28.4651285,"north indian, biryani",350,No,No,No,1,3.2,16,India,north indian,Medium
Tandoori Adda,1,Gurgaon,77.0143446,28.4700416,"north indian, mughlai, chinese",450,No,Yes,No,1,3.2,32,India,north indian,Medium
Tiffins 4 U,1,Gurgaon,77.0148921,28.4648232,north indian,200,No,No,No,1,3.1,27,India,north indian,Low
Cafe Cup of Life,1,Gurgaon,77.0162592,28.4681375,"cafe, fast food, chinese",550,No,Yes,No,2,3.7,45,India,cafe,Medium
DCK- Dana Choga's Kitchen,1,Gurgaon,77.0170336,28.4677392,"north indian, mughlai",800,No,Yes,No,2,3.5,148,India,north indian,High
Kishu Di Hatti Sweets,1,Gurgaon,77.0175244,28.4663672,mithai,150,No,No,No,1,3.6,20,India,mithai,Low
KC Bakers,1,Gurgaon,77.022728,28.455974,bakery,350,No,Yes,No,1,3.2,13,India,bakery,Medium
Sham Sweets,1,Gurgaon,77.0236993,28.4525161,"mithai, street food",200,No,No,No,1,2.8,7,India,mithai,Low
Bake Cuddle,1,Gurgaon,77.0213621,28.4591855,bakery,250,No,No,No,1,0.0,3,India,bakery,Low
Gopala,1,Gurgaon,77.0998689,28.4658365,"mithai, street food",250,No,No,No,1,3.4,37,India,mithai,Low
Halki Aanch,1,Gurgaon,77.0997223,28.4656305,"north indian, chinese",700,No,Yes,No,2,3.3,64,India,north indian,High
New Sukh Sagar,1,Gurgaon,77.1000176,28.465995,street food,100,No,No,No,1,3.2,16,India,street food,Low
Sweets Corner,1,Gurgaon,77.0993432,28.4658854,"mithai, north indian, chinese, street food",450,No,No,No,1,2.7,28,India,mithai,Medium
Minus5degree,1,Gurgaon,77.0987074,28.4662158,"desserts, ice cream",200,No,No,No,1,3.6,28,India,desserts,Low
Qureshi's Kabab Corner,1,Gurgaon,77.0992642,28.4661404,"north indian, mughlai",650,No,No,No,2,4.0,398,India,north indian,High
Delicious Food Corner,1,Gurgaon,77.0947125,28.4810852,north indian,400,No,No,No,1,0.0,0,India,north indian,Medium
Firangi Bake,1,Gurgaon,77.095457,28.482671,bakery,300,No,No,No,1,0.0,0,India,bakery,Medium
Kettle & Kegs,1,Gurgaon,77.0954737,28.4828791,tea,200,No,Yes,No,1,0.0,0,India,tea,Low
The Daily,1,Gurgaon,77.0967623,28.4834802,"bakery, fast food",300,No,No,No,1,0.0,0,India,bakery,Medium
Burger Singh,1,Gurgaon,77.03890722,28.42447847,"burger, fast food",500,No,Yes,No,2,3.4,190,India,burger,Medium
Captain Bill$ Deliverz,1,Gurgaon,77.089166,28.433455,"north indian, chinese, fast food",1000,No,Yes,Yes,3,2.5,65,India,north indian,High
Chaayos,1,Gurgaon,77.0447688,28.406494,"cafe, tea",400,No,Yes,No,1,3.3,39,India,cafe,Medium
Chai Point,1,Gurgaon,77.0443061,28.4057383,"tea, fast food",200,No,Yes,No,1,3.4,20,India,tea,Low
Cyber Adda 24,1,Gurgaon,77.0383803,28.4183524,"north indian, chinese, fast food",500,No,No,No,2,3.3,17,India,north indian,Medium
Desi Thaat,1,Gurgaon,77.0430886,28.4118349,"north indian, chinese",400,No,Yes,No,1,3.2,21,India,north indian,Medium
Doughlicious,1,Gurgaon,77.0447626,28.4064865,"bakery, desserts, fast food",550,No,Yes,No,2,3.3,175,India,bakery,Medium
Dunkin' Donuts,1,Gurgaon,77.0392204,28.4249125,"burger, desserts, fast food",600,No,Yes,No,2,3.4,138,India,burger,Medium
Gulshan Dhaba,1,Gurgaon,77.0276151,28.4579514,north indian,150,No,No,No,1,3.4,20,India,north indian,Low
Karari Kurry,1,Gurgaon,77.04253683,28.41240966,"north indian, chinese, fast food",600,No,Yes,No,2,3.4,51,India,north indian,Medium
Moti Mahal Delux,1,Gurgaon,77.0381858,28.4268302,"north indian, mughlai",1000,Yes,Yes,No,3,3.2,32,India,north indian,High
Needs Gourmet,1,Gurgaon,77.0451575,28.4025286,"north indian, chinese, italian",750,Yes,No,No,2,3.1,57,India,north indian,High
Rao's Meeting Point,1,Gurgaon,77.042691,28.4118643,"south indian, north indian, chinese",300,No,No,No,1,3.4,54,India,south indian,Medium
Sadabahar Hotel,1,Gurgaon,77.0403449,28.4157403,north indian,400,No,No,No,1,2.9,41,India,north indian,Medium
Sagar Ratna,1,Gurgaon,77.0383658,28.4209297,"south indian, north indian, chinese",600,No,Yes,No,2,2.5,188,India,south indian,Medium
Shri Ram Restaurant,1,Gurgaon,77.0417392,28.4116153,"north indian, street food, mithai",400,No,No,No,1,3.1,68,India,north indian,Medium
Shri Ram Restaurant,1,Gurgaon,77.0409296,28.411627,"north indian, mithai, street food",400,No,No,No,1,2.6,30,India,north indian,Medium
Subway,1,Gurgaon,77.0382435,28.4184165,"american, fast food, salad, healthy food",500,No,Yes,No,2,2.9,58,India,american,Medium
Subway,1,Gurgaon,77.0444681,28.4058183,"american, fast food, salad, healthy food",500,No,Yes,No,2,2.9,101,India,american,Medium
Sugarcraft Patisserie,1,Gurgaon,77.0484858,28.4117267,bakery,800,No,No,No,2,3.3,16,India,bakery,High
Tea Halt,1,Gurgaon,77.0322081,28.4256547,cafe,500,No,Yes,No,2,2.8,22,India,cafe,Medium
The Spice Room,1,Gurgaon,77.0452475,28.406214,"north indian, chinese",1350,Yes,Yes,No,3,3.4,155,India,north indian,High
The Tongue Twister,1,Gurgaon,77.067268,28.266839,"chinese, north indian, mughlai",600,No,No,No,2,3.4,40,India,chinese,Medium
56 Fresca,1,Gurgaon,77.0447078,28.4060723,italian,750,Yes,Yes,No,2,3.7,30,India,italian,High
BreakfastBay,1,Gurgaon,77.04214934,28.41385572,"healthy food, continental, north indian, salad",200,No,Yes,No,1,3.5,30,India,healthy food,Low
Cafe Maple Street,1,Gurgaon,77.0443479,28.4058584,"cafe, bakery, desserts",500,No,Yes,No,2,3.5,84,India,cafe,Medium
Fat Lulu's,1,Gurgaon,77.058018,28.434541,"pizza, italian",1250,No,Yes,No,3,3.7,21,India,pizza,High
Fat Monk,1,Gurgaon,77.033013,28.4255696,"chinese, asian",400,No,Yes,No,1,3.9,22,India,chinese,Medium
First Eat,1,Gurgaon,0.0,0.0,"healthy food, north indian",300,No,No,No,1,3.6,57,India,healthy food,Medium
Flying Tuk Tuk,1,Gurgaon,77.0413794,28.4069177,asian,1100,Yes,No,No,3,3.9,28,India,asian,High
FreshMenu,1,Gurgaon,77.041071,28.415066,"italian, chinese, continental, thai, mediterranean, lebanese",600,No,Yes,No,2,3.9,101,India,italian,Medium
Little Skillet,1,Gurgaon,77.0489356,28.4120391,"north indian, chinese, fast food",500,No,No,No,2,3.5,26,India,north indian,Medium
Shama Chicken Corner,1,Gurgaon,77.042099,28.4120086,biryani,500,No,No,No,2,3.6,35,India,biryani,Medium
Starbucks,1,Gurgaon,77.0449776,28.4060983,cafe,700,No,No,No,2,3.7,51,India,cafe,High
Tandoori Nation,1,Gurgaon,77.03833256,28.41864781,"north indian, mughlai, chinese",950,No,Yes,No,2,3.5,39,India,north indian,High
Truffle Tangles,1,Gurgaon,77.0365475,28.4274393,"bakery, desserts, north indian, bengali, south indian",300,No,No,No,1,3.5,37,India,bakery,Medium
Domino's Pizza,1,Gurgaon,77.0393103,28.4248315,"pizza, fast food",700,No,No,No,2,2.3,70,India,pizza,High
KB's Icecream & Kulfis,1,Gurgaon,77.0418292,28.4116239,ice cream,200,No,Yes,No,1,2.3,26,India,ice cream,Low
Wah Ji Wah,1,Gurgaon,77.0371694,28.4270829,north indian,450,No,No,No,1,2.4,42,India,north indian,Medium
Boozer's,1,Gurgaon,77.062693,28.454258,"finger food, north indian, chinese",800,Yes,No,No,2,0.0,0,India,finger food,High
Cheffy's,1,Gurgaon,77.0678486,28.4584293,"north indian, mughlai",600,No,No,No,2,0.0,0,India,north indian,Medium
Cake Point,1,Gurgaon,77.0832002,28.4307097,"bakery, desserts",600,No,Yes,No,2,2.8,7,India,bakery,Medium
Shyam Sweets,1,Gurgaon,77.08893042,28.4316636,"street food, mithai",100,No,No,No,1,2.8,9,India,street food,Low
Uma Foodies' Hut,1,Gurgaon,77.08898909,28.43185642,"north indian, chinese, mughlai",700,No,No,No,2,3.1,33,India,north indian,High
AK Your Food,1,Gurgaon,77.0810496,28.4406267,north indian,600,No,No,No,2,0.0,0,India,north indian,Medium
Freshnfit.in,1,Gurgaon,77.0860608,28.4362534,juices,250,No,No,No,1,0.0,1,India,juices,Low
Shri Ram Bhojnalaya,1,Gurgaon,77.078993,28.4346629,north indian,150,No,No,No,1,0.0,0,India,north indian,Low
Special O-cake-sions,1,Gurgaon,77.0745897,28.4325962,"bakery, desserts",300,No,No,No,1,0.0,0,India,bakery,Medium
Tasteful Biryani,1,Gurgaon,77.0832881,28.4307149,biryani,600,No,No,No,2,0.0,0,India,biryani,Medium
Bikanervala,1,Gurgaon,77.1053224,28.4335066,"north indian, south indian, fast food, street food, chinese, beverages, desserts, mithai",600,No,Yes,No,2,3.4,178,India,north indian,Medium
Oriental Fusion,1,Gurgaon,77.0872491,28.4625277,"chinese, thai, malaysian, indonesian",650,Yes,Yes,No,2,3.3,199,India,chinese,High
Purani Dilli's Al Karam Kebab House,1,Gurgaon,77.08729528,28.46243126,"north indian, mughlai, biryani",950,No,Yes,No,2,3.4,483,India,north indian,High
Rollmaal,1,Gurgaon,77.0876088,28.4623829,"fast food, north indian, chinese",500,No,Yes,No,2,3.4,346,India,fast food,Medium
Speedy Chow,1,Gurgaon,77.0876088,28.4622932,"chinese, thai",850,Yes,Yes,No,2,3.2,241,India,chinese,High
Arabian Nites,1,Gurgaon,77.0868749,28.4625024,lebanese,450,No,Yes,No,1,3.8,158,India,lebanese,Medium
Giani's,1,Gurgaon,77.0869794,28.4624121,"ice cream, desserts",400,No,Yes,No,1,3.7,92,India,ice cream,Medium
Giani,1,Gurgaon,77.08695229,28.46246192,"ice cream, desserts",400,No,Yes,No,1,3.6,115,India,ice cream,Medium
Juste Miam,1,Gurgaon,77.0869794,28.4626811,"bakery, desserts, fast food",300,No,Yes,No,1,3.9,94,India,bakery,Medium
Patiala Shahi,1,Gurgaon,77.0868501,28.4625094,"north indian, mughlai",800,No,Yes,No,2,3.5,118,India,north indian,High
The Kathis,1,Gurgaon,77.087339,28.4624466,"north indian, street food",300,No,Yes,No,1,3.8,48,India,north indian,Medium
Wai Yu Mun Ching,1,Gurgaon,77.0871567,28.4625963,"chinese, thai",800,Yes,Yes,No,2,3.6,321,India,chinese,High
Biryani Art,1,Gurgaon,77.0870678,28.4625602,"hyderabadi, north indian, biryani",1100,Yes,Yes,No,3,4.1,344,India,hyderabadi,High
Nosh,1,Gurgaon,77.0871573,28.4625905,"north indian, mughlai",700,No,Yes,No,2,4.1,103,India,north indian,High
Tandoor Express,1,Gurgaon,77.0874235,28.4624928,north indian,500,No,Yes,No,2,4.2,67,India,north indian,Medium
Tandoori KnockOuts,1,Gurgaon,77.0871592,28.4626087,"fast food, north indian",500,No,Yes,No,2,4.2,112,India,fast food,Medium
Udaipuri,1,Gurgaon,77.0871142,28.4623802,"north indian, rajasthani, asian",700,No,Yes,No,2,4.0,157,India,north indian,High
Begonia,1,Gurgaon,0.0,0.0,bakery,500,No,No,No,2,3.0,8,India,bakery,Medium
Cakes & Muffins,1,Gurgaon,77.0784363,28.4659842,bakery,400,No,No,No,1,3.3,21,India,bakery,Medium
Halki Aanch,1,Gurgaon,77.0756172,28.4714149,"north indian, chinese",700,No,Yes,No,2,2.7,39,India,north indian,High
Hungry Gopal,1,Gurgaon,77.0786436,28.4543078,"bengali, fast food",450,No,No,No,1,3.2,27,India,bengali,Medium
Kuzo,1,Gurgaon,77.0790658,28.4507135,"north indian, fast food",300,No,No,No,1,3.2,10,India,north indian,Medium
Lovecrumbs Bakery,1,Gurgaon,77.0784363,28.4660738,bakery,1000,No,No,No,3,3.4,16,India,bakery,High
Organic Express,1,Gurgaon,77.081955,28.452042,"healthy food, north indian, italian, salad",700,No,Yes,No,2,3.4,20,India,healthy food,High
Pizza Hut,1,Gurgaon,77.0746189,28.4684058,"italian, pizza, fast food",1000,No,Yes,No,3,2.8,80,India,italian,High
Roti Te Boti,1,Gurgaon,77.0832025,28.4600768,north indian,600,No,Yes,No,2,2.8,42,India,north indian,Medium
Behrouz Biryani,1,Gurgaon,77.0787061,28.4609895,biryani,600,No,Yes,No,2,3.7,49,India,biryani,Medium
Cafï¿½ï¿½ Burger BC,1,Gurgaon,77.0794255,28.4504791,fast food,300,No,Yes,No,1,3.7,65,India,fast food,Medium
Dilli Darbar,1,Gurgaon,77.0843946,28.4602529,"north indian, mughlai, chinese",550,No,Yes,No,2,3.7,52,India,north indian,Medium
Fu.D,1,Gurgaon,77.0789759,28.4647809,"cafe, fast food",250,No,Yes,No,1,3.7,58,India,cafe,Low
Jarfull,1,Gurgaon,77.0791557,28.4605845,"south indian, desserts, beverages",200,No,Yes,No,1,3.7,25,India,south indian,Low
Mochamania,1,Gurgaon,77.0747614,28.4710018,bakery,300,No,No,No,1,3.7,50,India,bakery,Medium
Mukhtalif Biryanis,1,Gurgaon,77.0847227,28.4592935,"mughlai, biryani",600,No,Yes,No,2,3.7,125,India,mughlai,Medium
Mummy's Kitchen,1,Gurgaon,77.0853157,28.4543176,north indian,150,No,No,No,1,3.5,26,India,north indian,Low
Ovenstory Pizza,1,Gurgaon,77.0788503,28.4609696,"pizza, fast food",500,No,Yes,No,2,3.7,23,India,pizza,Medium
The Godinho's,1,Gurgaon,0.0,0.0,"goan, american, portuguese",600,No,No,No,2,3.8,23,India,goan,Medium
Kujay's Spoon,1,Gurgaon,77.0796953,28.4499671,"north indian, mughlai, chinese",500,No,No,No,2,0.0,1,India,north indian,Medium
Lily Food's,1,Gurgaon,77.0791682,28.4508593,"north indian, chinese",600,No,No,No,2,0.0,0,India,north indian,Medium
Mutton Mewar,1,Gurgaon,77.0762779,28.4513422,rajasthani,800,No,No,No,2,0.0,1,India,rajasthani,High
Tasty But Healthy,1,Gurgaon,77.0814039,28.4503106,"fast food, north indian",250,No,No,No,1,0.0,3,India,fast food,Low
Teddy Choco Studio,1,Gurgaon,77.0830226,28.455756,desserts,250,No,No,No,1,0.0,2,India,desserts,Low
Chin Chow,1,Gurgaon,77.0840118,28.4601546,chinese,550,No,No,No,2,2.4,38,India,chinese,Medium
Cafe Sante,1,Gurgaon,77.0815524,28.4510321,cafe,1100,No,No,No,3,4.3,62,India,cafe,High
Nuterro,1,Gurgaon,77.0751988,28.4708726,"healthy food, continental, juices, beverages, italian, salad, lebanese",600,No,Yes,No,2,4.0,101,India,healthy food,Medium
Sandburg Shakes,1,Gurgaon,77.079003,28.46082,"cafe, pizza, burger",750,No,Yes,No,2,4.0,34,India,cafe,High
The Millionaire Express,1,Gurgaon,77.079311,28.460034,continental,400,No,Yes,No,1,4.0,53,India,continental,Medium
Ammu's South Indian Restaurant,1,Gurgaon,77.0793521,28.4607475,south indian,250,No,No,No,1,3.1,10,India,south indian,Low
Elma's Delivers,1,Gurgaon,77.0792457,28.461131,bakery,500,No,No,No,2,3.1,5,India,bakery,Medium
Faasos,1,Gurgaon,77.0788859,28.4609172,"north indian, fast food",600,No,Yes,No,2,3.2,12,India,north indian,Medium
Foodrath,1,Gurgaon,77.0793669,28.4613734,"north indian, chinese",400,No,No,No,1,3.0,4,India,north indian,Medium
Hyderabad House,1,Gurgaon,77.0792457,28.461131,biryani,500,No,Yes,No,2,2.7,7,India,biryani,Medium
Kake Da Hotel,1,Gurgaon,77.0798015,28.460761,north indian,700,No,Yes,No,2,3.1,35,India,north indian,High
Mitraao,1,Gurgaon,77.0796953,28.460995,north indian,650,No,Yes,No,2,3.4,117,India,north indian,High
PomoDoro Bistro,1,Gurgaon,77.0790916,28.4610705,"italian, fast food",700,No,Yes,No,2,3.4,67,India,italian,High
Shri Shyam Ji Ke Mashhoor Chhole Bhature,1,Gurgaon,77.0811311,28.4532726,street food,200,No,No,No,1,3.3,26,India,street food,Low
Spice Aangan Express,1,Gurgaon,77.0792457,28.461131,fast food,400,No,No,No,1,3.0,33,India,fast food,Medium
Subway,1,Gurgaon,77.0790658,28.4604862,"american, fast food, salad, healthy food",500,No,No,No,2,3.3,59,India,american,Medium
Swaad Ka Khazana,1,Gurgaon,77.0795604,28.4609372,"north indian, mughlai, chinese",600,No,No,No,2,2.6,11,India,north indian,Medium
The Toddy Shop,1,Gurgaon,77.0792715,28.460829,"south indian, kerala",1200,No,Yes,No,3,3.4,21,India,south indian,High
Truffles,1,Gurgaon,77.0790658,28.4606655,bakery,300,No,Yes,No,1,3.2,15,India,bakery,Medium
Cafe Bonkerz,1,Gurgaon,77.0787061,28.4604516,"american, fast food",850,No,Yes,No,2,3.6,41,India,american,High
Wrapchick,1,Gurgaon,77.0794255,28.4608794,"north indian, mughlai",650,No,Yes,No,2,3.9,67,India,north indian,High
WoW - Vada Pav & More,1,Gurgaon,77.0789039,28.4605516,"street food, fast food",300,No,Yes,No,1,2.2,41,India,street food,Medium
Me Kong Bowl,1,Gurgaon,77.0796953,28.460726,asian,700,No,Yes,No,2,4.0,27,India,asian,High
Green Leaf,1,Gurgaon,77.0395696,28.4664035,"north indian, south indian",800,Yes,No,No,2,3.0,6,India,north indian,High
Qureshi's Kabab Corner,1,Gurgaon,77.048261,28.412019,"north indian, mughlai",650,No,No,No,2,3.3,96,India,north indian,High
L'Opera,1,Gurgaon,77.0958365,28.4512929,"bakery, desserts, fast food",400,No,Yes,No,1,3.7,16,India,bakery,Medium
Chokola,1,Gurgaon,77.080139,28.5109714,"bakery, desserts, bakery",700,No,No,No,2,3.1,6,India,bakery,High
Green Hut,1,Gurgaon,77.0753139,28.5004986,"north indian, chinese, fast food",600,No,No,No,2,2.8,23,India,north indian,Medium
My Plate,1,Gurgaon,77.086215,28.5130313,north indian,200,No,No,No,1,3.1,6,India,north indian,Low
PiccoLicko,1,Gurgaon,77.0652612,28.4875966,desserts,200,No,Yes,No,1,3.3,12,India,desserts,Low
Pind Balluchi,1,Gurgaon,77.088159,28.4991161,"north indian, mughlai",1000,No,Yes,No,3,2.7,7,India,north indian,High
Raj Xpresso,1,Gurgaon,77.083835,28.506391,"north indian, chinese",650,No,No,No,2,2.9,13,India,north indian,High
Riders Hub,1,Gurgaon,77.0879685,28.4991724,"chinese, continental, north indian",800,Yes,No,No,2,3.1,11,India,chinese,High
Shivani Catering Services,1,Gurgaon,77.0728605,28.5011252,"north indian, chinese",500,No,No,No,2,3.1,17,India,north indian,Medium
The Diet Kitchen,1,Gurgaon,77.0835622,28.5009896,"continental, healthy food",700,No,Yes,No,2,3.3,7,India,continental,High
The Gr8 Taste of India,1,Gurgaon,77.0867524,28.4975584,"north indian, fast food",400,No,Yes,No,1,3.0,10,India,north indian,Medium
World Art Cafe,1,Gurgaon,77.0842434,28.5120417,cafe,500,No,No,No,2,3.3,10,India,cafe,Medium
XLNC Bakers,1,Gurgaon,77.0801,28.5140563,bakery,150,No,No,No,1,2.9,4,India,bakery,Low
Adventure Food,1,Gurgaon,77.086215,28.5130313,fast food,150,No,No,No,1,0.0,0,India,fast food,Low
Baba Da Dhaba,1,Gurgaon,77.07576312,28.51150832,north indian,500,No,No,No,2,0.0,0,India,north indian,Medium
Bandhani Fast Food,1,Gurgaon,77.0823439,28.501278,north indian,300,No,No,No,1,0.0,0,India,north indian,Medium
Bhai Ji Dhaba,1,Gurgaon,77.0755585,28.511513,north indian,500,No,No,No,2,0.0,0,India,north indian,Medium
Bikaner Sweets,1,Gurgaon,77.0670773,28.4905933,"north indian, south indian, chinese",300,No,No,No,1,0.0,2,India,north indian,Medium
Cake 24x7,1,Gurgaon,77.0627161,28.4969691,"bakery, desserts",450,No,Yes,Yes,1,0.0,2,India,bakery,Medium
Chaayos,1,Gurgaon,77.086215,28.5130313,"cafe, tea",400,No,Yes,No,1,0.0,3,India,cafe,Medium
Chauhan Hotel,1,Gurgaon,77.0671046,28.4905322,north indian,200,No,No,No,1,0.0,0,India,north indian,Low
Costa Coffee,1,Gurgaon,77.07991786,28.49125312,cafe,600,No,No,No,2,0.0,2,India,cafe,Medium
Dheeraj Vaishno Dhaba,1,Gurgaon,77.0673441,28.4907223,north indian,200,No,No,No,1,0.0,0,India,north indian,Low
Domino's Pizza,1,Gurgaon,77.067069,28.4899846,"pizza, fast food",700,No,No,No,2,0.0,3,India,pizza,High
Food Ka Adda,1,Gurgaon,77.0859902,28.4988926,"north indian, chinese, south indian",400,No,No,No,1,0.0,3,India,north indian,Medium
iKitchen,1,Gurgaon,77.07016754,28.49064636,"north indian, chinese, italian",650,No,Yes,No,2,0.0,2,India,north indian,High
Knights Kitchen,1,Gurgaon,77.0836521,28.4996537,north indian,200,No,No,No,1,0.0,0,India,north indian,Low
